"id","dominio","prefixo","metodo","rota","operacao","handler","protecao","linha_app_go"
"204","Runtime de automação","automation-runtime","POST","/v1/automation-runtime/issues/{kind}/{id}/retry","RetryRuntimeIssue","automationsHandler.RetryRuntimeIssue","Módulo automations + permissão AutomationsManage","504"
"205","Mídias de automação","automation-media","GET","/v1/automation-media","ListMedia","automationsHandler.ListMedia","Módulo automations + permissão AutomationsView","505"
"206","Mídias de automação","automation-media","POST","/v1/automation-media","UploadMedia","automationsHandler.UploadMedia","Módulo automations + permissão AutomationsManage","506"
"207","Mídias de automação","automation-media","DELETE","/v1/automation-media","DeleteMedia","automationsHandler.DeleteMedia","Módulo automations + permissão AutomationsManage","507"
"208","WhatsApp","whatsapp","GET","/v1/whatsapp/webhook/evolution-go","EvolutionGoWebhook","whatsappHandler.EvolutionGoWebhook","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","508"
"209","WhatsApp","whatsapp","POST","/v1/whatsapp/webhook/evolution-go","EvolutionGoWebhook","whatsappHandler.EvolutionGoWebhook","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","509"
"210","APIs públicas","public","POST","/v1/public/webhooks/generic","ReceiveLead","webhooksHandler.ReceiveLead","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","510"
"211","APIs públicas","public","GET","/v1/public/integrations/meta/webhook","Webhook","metaHandler.Webhook","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","511"
"212","APIs públicas","public","POST","/v1/public/integrations/meta/webhook","Webhook","metaHandler.Webhook","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","512"
"213","APIs públicas","public","GET","/v1/public/integrations/portals/grupo-olx/feed/{token}","GrupoOLXFeed","portalsHandler.GrupoOLXFeed","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","513"
"214","APIs públicas","public","POST","/v1/public/integrations/portals/grupo-olx/leads/{token}","GrupoOLXLeadWebhook","portalsHandler.GrupoOLXLeadWebhook","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","514"
"215","APIs públicas","public","POST","/v1/public/integrations/portals/grupo-olx/import-reports/{token}","GrupoOLXImportReportWebhook","portalsHandler.GrupoOLXImportReportWebhook","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","515"
"216","APIs públicas","public","GET","/v1/public/onboarding/plans","PublicSubscriptionPlans","adminHandler.PublicSubscriptionPlans","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","516"
"217","APIs públicas","public","POST","/v1/public/onboarding/signup","PublicOnboardingSignup","adminHandler.PublicOnboardingSignup","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","517"
"218","APIs públicas","public","POST","/v1/public/onboarding/checkout-plan","PublicCheckoutPlan","adminHandler.PublicCheckoutPlan","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","518"
"219","APIs públicas","public","GET","/v1/public/system-settings","PublicSystemSettings","settingsHandler.PublicSystemSettings","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","519"
"220","APIs públicas","public","GET","/v1/public/site/resolve","ResolvePublicSite","siteHandler.ResolvePublicSite","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","520"
"221","APIs públicas","public","GET","/v1/public/site/data","PublicSiteData","siteHandler.PublicSiteData","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","521"
"222","APIs públicas","public","GET","/v1/public/site/menu-items","ListPublicMenuItems","siteHandler.ListPublicMenuItems","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","522"
"223","APIs públicas","public","GET","/v1/public/site/search-filters","ListPublicSearchFilters","siteHandler.ListPublicSearchFilters","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","523"
"224","APIs públicas","public","POST","/v1/public/site/contact","SubmitPublicContact","siteHandler.SubmitPublicContact","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","524"
"225","APIs públicas","public","POST","/v1/public/tracking/events","TrackPublicEvent","siteHandler.TrackPublicEvent","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","525"
"226","APIs públicas","public","GET","/v1/public/payments/checkout-info","PublicCheckoutInfo","integrationsHandler.PublicCheckoutInfo","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","526"
"227","APIs públicas","public","GET","/v1/public/payments/status","PublicPaymentStatus","integrationsHandler.PublicPaymentStatus","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","527"
"228","APIs públicas","public","POST","/v1/public/payments/charge","PublicCreateCharge","integrationsHandler.PublicCreateCharge","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","528"
"229","APIs públicas","public","POST","/v1/public/payments/cancel","PublicCancelPayment","integrationsHandler.PublicCancelPayment","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","529"
"230","APIs públicas","public","GET","/v1/public/invitations/{token}","ShowInvitationByToken","adminHandler.ShowInvitationByToken","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","530"
"231","APIs públicas","public","POST","/v1/public/invitations/{token}/accept","AcceptInvitationPublic","adminHandler.AcceptInvitationPublic","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","531"
"232","Webhooks","webhooks","GET","/v1/webhooks","List","webhooksHandler.List","Organização + permissão SettingsIntegrations","532"
